name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
김도영,Tigers (KBO),3루,162.520845,8.205764524,7.987847857,459,527,157,26,6,32,52,4,5,1,6,100,7,35,4,116,91,0.3406593407,0.4157088123,0.632967033,1.048675845,0.4424245918,43.83291434,4.727186335,8.164456872,5.168377898,0.2179166667
로하스,Wiz (KBO),좌익,157.185769,5.89994083,6.60119083,484,566,159,34,0,28,65,6,3,0,8,97,10,2,1,90,93,0.3298755187,0.4188948307,0.5746887967,0.9935836273,0.4343283737,43.00556375,-0.2436867353,2.844484999,-4.799968719,-0.70125
김혜성,Heroes (KBO),2루,132.7278469,4.979964068,4.786630734,419,468,141,23,4,11,38,4,5,0,2,47,6,26,6,74,67,0.334939759,0.3943965517,0.486746988,0.8811435397,0.397212376,20.35678704,1.836420578,6.771074124,2.47309972,0.1933333333
송성문,Heroes (KBO),3루,147.6614242,6.188866029,5.986366029,428,490,147,21,3,16,49,3,8,0,2,60,4,16,0,69,89,0.3458823529,0.4115226337,0.5223529412,0.9338755749,0.4198747518,31.05110812,3.106962421,6.021038285,1.405589756,0.2025
박민우,Dinos (KBO),2루,129.4734771,4.534721962,4.352638629,377,437,127,25,2,5,43,8,2,3,4,66,3,29,6,64,38,0.3368700265,0.4193548387,0.4535809019,0.8729357406,0.3922737235,17.265797,2.435250294,6.456333774,1.975338996,0.1820833333
오스틴,Twins (KBO),1루,152.7317086,4.855651777,5.905651777,433,532,135,10,3,4,82,12,2,1,2,80,8,10,10,76,58,0.3143507973,0.380952381,0.589977221,0.9709296019,0.4275691365,35.62674933,-1.153632008,4.841463116,-0.6165995521,-1.05
홍창기,Twins (KBO),우익,129.7424962,3.62512162,4.28512162,443,508,138,27,2,30,45,3,11,0,6,73,7,11,6,84,111,0.3123543124,0.4364326376,0.3752913753,0.8117240129,0.392681972,21.05160226,-3.589581727,4.748977041,-1.010804329,-0.66
강승호,Bears (KBO),2루,111.2601032,3.699736118,3.491402784,421,481,134,34,1,22,41,10,5,2,2,64,5,10,4,69,84,0.2869565217,0.3353413655,0.4847826087,0.8201239742,0.3646341086,7.5472058,0.4028685687,6.647293269,1.963953473,0.2083333334
구자욱,Lions (KBO),좌익,138.5316546,4.121979464,4.716979464,464,504,133,31,6,16,25,6,3,2,4,144,7,16,5,69,70,0.3165467626,0.3894736842,0.5587529976,0.9482266818,0.4060199154,24.58659738,-0.2605256833,4.602672677,-0.956277056,-0.595
최정,Landers (KBO),3루,147.7327336,5.310093907,5.120093907,388,460,112,21,1,32,47,19,5,0,1,97,8,5,1,77,88,0.2890625,0.3903508772,0.5989583333,0.9893092105,0.4199829669,29.17796288,0.381474371,4.325026358,-1.158498182,0.19
박동원,Twins (KBO),포수,117.0327369,3.366802512,2.520969179,347,409,93,18,0,16,51,0,7,2,2,93,12,1,0,49,67,0.2674418605,0.3589108911,0.4593023256,0.8182132167,0.3733943401,9.27009723,0.1362195212,1.758713573,-4.496624964,0.8458333332
김지찬,Lions (KBO),중견,106.5733521,3.574241155,3.383407822,367,417,121,26,0,7,30,15,5,0,0,22,6,5,0,65,57,0.3136246787,0.399103139,0.3753213368,0.7744244758,0.357521753,4.035768008,4.867888077,6.482531637,2.030422137,0.1908333333
허경민,Bears (KBO),3루,131.7188048,4.013535197,3.841035197,392,463,122,15,0,3,47,9,1,12,2,34,5,33,3,84,27,0.3296703297,0.3985507246,0.456043956,0.8545946807,0.3956811092,17.60317366,0.922176113,4.674540827,-0.8149978013,0.1725
김주원,Dinos (KBO),유격,84.31049268,1.630230346,1.175230346,294,368,66,11,1,7,40,21,4,8,1,89,2,13,4,45,35,0.2260273973,0.3539325843,0.3424657534,0.6963983377,0.3237368617,-7.65569298,0.3517622988,6.155356742,0.8562341402,0.455
에레디아,Landers (KBO),좌익,134.6578653,3.681706721,4.289206721,449,490,160,24,1,14,20,11,7,0,3,62,11,4,3,65,95,0.3573033708,0.3971193416,0.5101123596,0.9072317011,0.4001412659,22.57937403,-0.9280159294,3.390353673,-3.059290882,-0.6075
레이예스,Giants (KBO),우익,136.0876099,4.133198402,4.756948402,461,503,162,31,2,14,32,1,7,0,2,65,12,4,0,72,89,0.352297593,0.3927855711,0.5207877462,0.9135733173,0.4023109677,24.1397342,0.7139841249,4.010085766,-2.234234304,-0.62375
강민호,Lions (KBO),포수,124.0813064,3.805008045,2.977924712,382,429,126,31,2,11,39,6,2,0,0,54,10,2,2,69,57,0.3105413105,0.3778337531,0.5042735043,0.8821072574,0.3840908616,12.81576008,0.5327086692,2.552168863,-3.41922163,0.8270833332
도슨,Heroes (KBO),좌익,141.1431828,3.682362109,4.218612109,355,402,109,15,1,17,33,7,5,0,2,46,15,3,0,43,72,0.3298429319,0.3986013986,0.5078534031,0.9064548017,0.4099830271,23.66077666,-0.7674193591,3.825235008,-2.157236214,-0.53625
소크라테스,Tigers (KBO),좌익,117.1325937,3.120655871,3.768155871,420,468,109,15,3,25,40,3,4,1,0,144,2,9,2,61,72,0.3014861996,0.3552123552,0.5138004246,0.8690127798,0.3735458774,11.89670504,-0.2616959673,5.340253435,0.1465496364,-0.6475
권희동,Dinos (KBO),좌익,122.7757313,2.96137576,3.53012576,475,522,144,25,3,23,34,4,5,0,4,81,6,11,4,79,82,0.2911051213,0.4061810155,0.4285714286,0.834752444,0.3821095926,13.89176875,0.7104732729,4.001448496,-2.050984424,-0.56875
페라자,Eagles (KBO),우익,126.8861659,2.960802682,3.514552682,395,447,113,24,0,23,45,1,2,0,4,113,4,7,5,72,64,0.2857142857,0.3634311512,0.5229591837,0.8863903349,0.3883473622,15.96637844,-1.397131431,4.052257094,-1.573720189,-0.55375
박성한,Landers (KBO),유격,100.7791766,3.048304225,2.435804225,375,459,108,19,1,10,66,9,6,2,1,61,7,4,0,58,67,0.2884160757,0.3696098563,0.390070922,0.7596807782,0.3487288308,0.511806504,1.020292659,4.259729999,-1.674056911,0.6125
김영웅,Lions (KBO),3루,99.94697647,2.613031524,2.419698191,423,490,122,22,0,7,54,1,6,3,3,73,10,11,2,67,53,0.2589928058,0.3239740821,0.4892086331,0.8131827152,0.3474659297,-0.03298074228,0.644283481,5.565868667,0.3856791695,0.1933333333
박건우,Dinos (KBO),우익,143.4581742,3.405248589,3.857748589,323,373,86,16,0,13,41,5,3,0,1,69,7,2,0,56,54,0.3436532508,0.408839779,0.5417956656,0.9506354446,0.4134961307,21.08889698,0.7368046632,4.215297023,-1.34821576,-0.4525
장성우,Wiz (KBO),포수,104.6835014,2.877647071,2.046397071,323,362,111,23,1,13,30,4,2,0,3,54,7,4,0,58,53,0.2658959538,0.351758794,0.4306358382,0.7823946321,0.3546538195,2.505055615,0.7350492372,3.080870836,-2.726134139,0.8312499999
문성주,Twins (KBO),좌익,124.5866177,2.242458768,2.657458768,346,400,92,15,0,14,48,0,4,1,1,72,6,4,0,38,60,0.3176895307,0.419939577,0.3898916968,0.8098312738,0.3848576943,10.94235224,-1.296674318,5.497476863,0.3289097557,-0.415
이재현,Lions (KBO),유격,103.6038712,2.294729006,1.834729006,277,332,88,16,2,0,49,2,3,1,0,34,4,13,7,44,46,0.2679127726,0.3532608696,0.4392523364,0.792513206,0.353015432,1.77783274,0.3414857993,3.322320264,-2.172028478,0.46
정수빈,Bears (KBO),중견,98.51224593,3.359898964,3.146982297,433,515,122,17,3,3,62,6,6,7,1,56,8,46,10,83,35,0.2820512821,0.376984127,0.3566433566,0.7336274836,0.3452886615,-1.019121273,3.637334806,7.175235111,3.301609436,0.2129166667
양의지,Bears (KBO),포수,125.8937165,4.104547614,3.221214281,380,425,121,15,0,15,27,7,6,0,5,49,13,2,0,47,85,0.3192612137,0.3773584906,0.4775725594,0.8549310499,0.3868412756,14.71750067,0.3268572491,2.322574352,-4.032215109,0.8833333332
노시환,Eagles (KBO),3루,115.2128448,3.777057263,3.570807263,427,495,126,30,3,15,50,1,11,3,3,88,10,6,6,61,74,0.2801822323,0.3575757576,0.4783599089,0.8359356665,0.370632572,10.09460785,1.123931539,5.064837114,-0.2604667547,0.20625
문보경,Twins (KBO),3루,120.9453671,3.625054055,3.420470722,362,402,111,22,3,11,34,1,5,0,0,61,7,4,2,61,66,0.2955082742,0.3668032787,0.4799054374,0.846708716,0.3793319327,13.78615916,-2.154802292,3.993425278,-1.976649649,0.2045833333
손호영,Giants (KBO),3루,139.0186456,3.113428335,2.989678335,431,481,128,19,1,2,36,1,6,6,1,37,7,15,10,66,44,0.3272727273,0.3682432432,0.5672727273,0.9355159705,0.4067589462,15.53468524,-0.8283428729,5.64498816,0.3404409809,0.12375
고승민,Giants (KBO),2루,116.7408307,2.955315602,2.789898935,279,301,91,20,2,15,12,6,2,1,1,46,4,7,4,51,62,0.3053221289,0.362720403,0.4733893557,0.8361097588,0.3729513593,8.909253769,-0.356886803,4.857255809,-0.5033776149,0.1654166667
데이비슨,Dinos (KBO),1루,136.6337982,3.153005762,4.105089095,407,462,118,16,0,37,30,14,6,0,5,117,10,0,1,74,95,0.2910447761,0.363238512,0.6069651741,0.9702036862,0.403139833,22.44253791,-0.6097484989,2.058593515,-3.631898462,-0.9520833332
